2023/10/11 12:06:02 Starting gRPC server on localhost:55555...
2023/10/11 12:06:19 Login request from alice_johnson: 44rSFJQ9qtHWTBAvrsKd5K/p2j0=
2023/10/11 12:06:19 alice_johnson was just logged in
2023/10/11 12:06:19 User alice_johnson request to join the chat room!
2023/10/11 12:06:19 User alice_johnson is allowed to join the chat room!
2023/10/11 12:06:20 alice_johnson requested connected users list
2023/10/11 12:06:22 alice_johnson requested connected users list
2023/10/11 12:06:23 alice_johnson requested connected users list
2023/10/11 12:06:25 alice_johnson requested connected users list
2023/10/11 12:06:26 alice_johnson requested connected users list
2023/10/11 12:06:28 alice_johnson requested connected users list
2023/10/11 12:06:29 alice_johnson requested connected users list
2023/10/11 12:06:31 alice_johnson requested connected users list
2023/10/11 12:06:32 alice_johnson requested connected users list
2023/10/11 12:06:34 alice_johnson requested connected users list
2023/10/11 12:06:35 alice_johnson requested connected users list
2023/10/11 12:06:37 alice_johnson requested connected users list
2023/10/11 12:06:38 alice_johnson requested connected users list
2023/10/11 12:06:40 alice_johnson requested connected users list
2023/10/11 12:06:41 alice_johnson requested connected users list
2023/10/11 12:06:43 alice_johnson requested connected users list
2023/10/11 12:06:44 Login request from bob_greenwood: /VMVjx9V2g2tzyDvc0KEb7WwK+Y=
2023/10/11 12:06:44 bob_greenwood was just logged in
2023/10/11 12:06:44 User bob_greenwood request to join the chat room!
2023/10/11 12:06:44 User bob_greenwood is allowed to join the chat room!
2023/10/11 12:06:44 alice_johnson requested connected users list
2023/10/11 12:06:45 bob_greenwood requested connected users list
2023/10/11 12:06:46 alice_johnson requested connected users list
2023/10/11 12:06:47 bob_greenwood requested connected users list
2023/10/11 12:06:47 alice_johnson requested connected users list
2023/10/11 12:06:48 bob_greenwood requested connected users list
2023/10/11 12:06:49 alice_johnson requested connected users list
2023/10/11 12:06:50 bob_greenwood requested connected users list
2023/10/11 12:06:50 alice_johnson requested connected users list
2023/10/11 12:06:51 bob_greenwood requested connected users list
2023/10/11 12:06:52 alice_johnson requested connected users list
2023/10/11 12:06:53 bob_greenwood requested connected users list
2023/10/11 12:06:53 alice_johnson requested connected users list
2023/10/11 12:06:54 bob_greenwood requested connected users list
2023/10/11 12:06:55 alice_johnson requested connected users list
2023/10/11 12:06:56 bob_greenwood requested connected users list
2023/10/11 12:06:56 alice_johnson requested connected users list
2023/10/11 12:06:57 bob_greenwood requested connected users list
2023/10/11 12:06:58 alice_johnson requested connected users list
2023/10/11 12:06:59 bob_greenwood requested connected users list
2023/10/11 12:06:59 alice_johnson requested connected users list
2023/10/11 12:07:00 bob_greenwood requested connected users list
2023/10/11 12:07:01 alice_johnson requested connected users list
2023/10/11 12:07:02 bob_greenwood requested connected users list
2023/10/11 12:07:02 alice_johnson requested connected users list
2023/10/11 12:07:03 bob_greenwood requested connected users list
2023/10/11 12:07:04 alice_johnson requested connected users list
2023/10/11 12:07:04 Room chat request from alice_johnson: hello Bob
2023/10/11 12:07:04 User alice_johnson has not enough likes to send new message to the room!
2023/10/11 12:07:05 bob_greenwood requested connected users list
2023/10/11 12:07:05 alice_johnson requested connected users list
2023/10/11 12:07:06 bob_greenwood requested connected users list
2023/10/11 12:07:07 alice_johnson requested connected users list
2023/10/11 12:07:08 bob_greenwood requested connected users list
2023/10/11 12:07:08 alice_johnson requested connected users list
2023/10/11 12:07:09 bob_greenwood requested connected users list
2023/10/11 12:07:10 alice_johnson requested connected users list
2023/10/11 12:07:11 bob_greenwood requested connected users list
2023/10/11 12:07:11 alice_johnson requested connected users list
2023/10/11 12:07:12 bob_greenwood requested connected users list
2023/10/11 12:07:13 alice_johnson requested connected users list
2023/10/11 12:07:14 bob_greenwood requested connected users list
