2023/10/11 13:15:08 Starting gRPC server on localhost:55555...
2023/10/11 13:15:39 Login request from alice_johnson: 44rSFJQ9qtHWTBAvrsKd5K/p2j0=
2023/10/11 13:15:39 alice_johnson was just logged in
2023/10/11 13:15:39 User alice_johnson request to join the chat room!
2023/10/11 13:15:39 User alice_johnson is allowed to join the chat room!
2023/10/11 13:15:40 alice_johnson requested connected users list
2023/10/11 13:15:42 alice_johnson requested connected users list
2023/10/11 13:15:43 alice_johnson requested connected users list
2023/10/11 13:15:45 alice_johnson requested connected users list
2023/10/11 13:15:46 alice_johnson requested connected users list
2023/10/11 13:15:48 alice_johnson requested connected users list
2023/10/11 13:15:49 alice_johnson requested connected users list
2023/10/11 13:15:51 alice_johnson requested connected users list
2023/10/11 13:15:52 alice_johnson requested connected users list
2023/10/11 13:15:54 alice_johnson requested connected users list
2023/10/11 13:15:55 Login request from bob_greenwood: /VMVjx9V2g2tzyDvc0KEb7WwK+Y=
2023/10/11 13:15:55 bob_greenwood was just logged in
2023/10/11 13:15:55 User bob_greenwood request to join the chat room!
2023/10/11 13:15:55 User bob_greenwood is allowed to join the chat room!
2023/10/11 13:15:55 alice_johnson requested connected users list
2023/10/11 13:15:57 bob_greenwood requested connected users list
2023/10/11 13:15:57 alice_johnson requested connected users list
2023/10/11 13:15:58 bob_greenwood requested connected users list
2023/10/11 13:15:58 alice_johnson requested connected users list
2023/10/11 13:16:00 bob_greenwood requested connected users list
2023/10/11 13:16:00 alice_johnson requested connected users list
2023/10/11 13:16:01 bob_greenwood requested connected users list
2023/10/11 13:16:01 alice_johnson requested connected users list
2023/10/11 13:16:03 bob_greenwood requested connected users list
2023/10/11 13:16:03 alice_johnson requested connected users list
2023/10/11 13:16:04 bob_greenwood requested connected users list
2023/10/11 13:16:04 alice_johnson requested connected users list
2023/10/11 13:16:06 bob_greenwood requested connected users list
2023/10/11 13:16:06 alice_johnson requested connected users list
2023/10/11 13:16:07 bob_greenwood requested connected users list
2023/10/11 13:16:07 alice_johnson requested connected users list
2023/10/11 13:16:09 bob_greenwood requested connected users list
2023/10/11 13:16:09 alice_johnson requested connected users list
2023/10/11 13:16:10 bob_greenwood requested connected users list
2023/10/11 13:16:10 alice_johnson requested connected users list
2023/10/11 13:16:12 bob_greenwood requested connected users list
2023/10/11 13:16:12 alice_johnson requested connected users list
2023/10/11 13:16:13 bob_greenwood requested connected users list
2023/10/11 13:16:13 alice_johnson requested connected users list
2023/10/11 13:16:15 bob_greenwood requested connected users list
2023/10/11 13:16:15 alice_johnson requested connected users list
2023/10/11 13:16:15 alice_johnson sent a message to bob_greenwood: hello Bob
2023/10/11 13:16:15 Message sent from alice_johnson to bob_greenwood successfully
2023/10/11 13:16:16 bob_greenwood requested connected users list
2023/10/11 13:16:16 alice_johnson requested connected users list
2023/10/11 13:16:18 bob_greenwood requested connected users list
2023/10/11 13:16:18 alice_johnson requested connected users list
2023/10/11 13:16:19 bob_greenwood requested connected users list
2023/10/11 13:16:19 alice_johnson requested connected users list
2023/10/11 13:16:21 bob_greenwood requested connected users list
2023/10/11 13:16:21 alice_johnson requested connected users list
2023/10/11 13:16:22 bob_greenwood sent a message to alice_johnson: hello alice
2023/10/11 13:16:22 Message sent from bob_greenwood to alice_johnson successfully
2023/10/11 13:16:22 bob_greenwood requested connected users list
2023/10/11 13:16:22 alice_johnson requested connected users list
2023/10/11 13:16:24 bob_greenwood requested connected users list
2023/10/11 13:16:24 alice_johnson requested connected users list
2023/10/11 13:16:25 bob_greenwood requested connected users list
2023/10/11 13:16:25 alice_johnson requested connected users list
2023/10/11 13:16:27 bob_greenwood requested connected users list
2023/10/11 13:16:27 alice_johnson requested connected users list
2023/10/11 13:16:28 bob_greenwood requested connected users list
2023/10/11 13:16:28 alice_johnson requested connected users list
2023/10/11 13:16:30 bob_greenwood requested connected users list
2023/10/11 13:16:30 alice_johnson requested connected users list
2023/10/11 13:16:31 bob_greenwood requested connected users list
2023/10/11 13:16:31 alice_johnson requested connected users list
2023/10/11 13:16:33 bob_greenwood requested connected users list
2023/10/11 13:16:33 alice_johnson requested connected users list
2023/10/11 13:16:34 bob_greenwood requested connected users list
2023/10/11 13:16:34 alice_johnson requested connected users list
2023/10/11 13:16:36 bob_greenwood requested connected users list
2023/10/11 13:16:36 alice_johnson requested connected users list
2023/10/11 13:16:37 bob_greenwood requested connected users list
2023/10/11 13:16:37 alice_johnson requested connected users list
2023/10/11 13:16:39 bob_greenwood requested connected users list
2023/10/11 13:16:39 alice_johnson requested connected users list
2023/10/11 13:16:40 bob_greenwood requested connected users list
2023/10/11 13:16:40 alice_johnson requested connected users list
2023/10/11 13:16:42 bob_greenwood requested connected users list
2023/10/11 13:16:42 alice_johnson requested connected users list
2023/10/11 13:16:43 bob_greenwood requested connected users list
2023/10/11 13:16:43 alice_johnson requested connected users list
2023/10/11 13:16:45 bob_greenwood requested connected users list
2023/10/11 13:16:45 alice_johnson requested connected users list
2023/10/11 13:16:46 bob_greenwood requested connected users list
2023/10/11 13:16:46 alice_johnson requested connected users list
2023/10/11 13:16:48 bob_greenwood requested connected users list
2023/10/11 13:16:48 alice_johnson requested connected users list
2023/10/11 13:16:49 bob_greenwood requested connected users list
2023/10/11 13:16:49 alice_johnson requested connected users list
2023/10/11 13:16:51 Room chat request from alice_johnson: hello bob, I'm Alice try to send a message to chat room
2023/10/11 13:16:51 bob_greenwood requested connected users list
2023/10/11 13:16:51 alice_johnson requested connected users list
2023/10/11 13:16:52 bob_greenwood requested connected users list
2023/10/11 13:16:52 alice_johnson requested connected users list
2023/10/11 13:16:54 bob_greenwood requested connected users list
2023/10/11 13:16:54 alice_johnson requested connected users list
2023/10/11 13:16:55 bob_greenwood requested connected users list
2023/10/11 13:16:55 alice_johnson requested connected users list
2023/10/11 13:16:57 User bob_greenwood just liked Message of alice_johnson
2023/10/11 13:16:57 bob_greenwood requested connected users list
2023/10/11 13:16:57 alice_johnson requested connected users list
2023/10/11 13:16:58 bob_greenwood requested connected users list
2023/10/11 13:16:58 alice_johnson requested connected users list
2023/10/11 13:17:00 bob_greenwood requested connected users list
2023/10/11 13:17:00 alice_johnson requested connected users list
2023/10/11 13:17:01 bob_greenwood requested connected users list
2023/10/11 13:17:01 alice_johnson requested connected users list
2023/10/11 13:17:03 bob_greenwood requested connected users list
2023/10/11 13:17:03 alice_johnson requested connected users list
2023/10/11 13:17:04 bob_greenwood requested connected users list
2023/10/11 13:17:04 alice_johnson requested connected users list
2023/10/11 13:17:06 bob_greenwood requested connected users list
2023/10/11 13:17:06 alice_johnson requested connected users list
2023/10/11 13:17:07 bob_greenwood requested connected users list
2023/10/11 13:17:07 alice_johnson requested connected users list
2023/10/11 13:17:09 bob_greenwood requested connected users list
2023/10/11 13:17:09 alice_johnson requested connected users list
2023/10/11 13:17:10 bob_greenwood requested connected users list
2023/10/11 13:17:10 alice_johnson requested connected users list
2023/10/11 13:17:12 bob_greenwood requested connected users list
2023/10/11 13:17:12 alice_johnson requested connected users list
2023/10/11 13:17:13 bob_greenwood requested connected users list
2023/10/11 13:17:13 alice_johnson requested connected users list
2023/10/11 13:17:15 bob_greenwood requested connected users list
2023/10/11 13:17:15 alice_johnson requested connected users list
2023/10/11 13:17:16 bob_greenwood requested connected users list
2023/10/11 13:17:16 alice_johnson requested connected users list
2023/10/11 13:17:18 bob_greenwood requested connected users list
2023/10/11 13:17:18 alice_johnson requested connected users list
2023/10/11 13:17:19 bob_greenwood requested connected users list
2023/10/11 13:17:19 alice_johnson requested connected users list
2023/10/11 13:17:21 bob_greenwood requested connected users list
2023/10/11 13:17:21 alice_johnson requested connected users list
2023/10/11 13:17:22 bob_greenwood requested connected users list
2023/10/11 13:17:22 alice_johnson requested connected users list
2023/10/11 13:17:24 bob_greenwood requested connected users list
2023/10/11 13:17:24 alice_johnson requested connected users list
2023/10/11 13:17:25 bob_greenwood requested connected users list
2023/10/11 13:17:25 alice_johnson requested connected users list
2023/10/11 13:17:27 bob_greenwood requested connected users list
2023/10/11 13:17:27 alice_johnson requested connected users list
2023/10/11 13:17:28 bob_greenwood requested connected users list
2023/10/11 13:17:28 alice_johnson requested connected users list
2023/10/11 13:17:30 bob_greenwood requested connected users list
2023/10/11 13:17:30 alice_johnson requested connected users list
2023/10/11 13:17:31 bob_greenwood requested connected users list
2023/10/11 13:17:31 alice_johnson requested connected users list
2023/10/11 13:17:33 bob_greenwood requested connected users list
2023/10/11 13:17:33 alice_johnson requested connected users list
2023/10/11 13:17:34 bob_greenwood requested connected users list
2023/10/11 13:17:34 alice_johnson requested connected users list
2023/10/11 13:17:36 bob_greenwood requested connected users list
2023/10/11 13:17:36 alice_johnson requested connected users list
2023/10/11 13:17:37 bob_greenwood requested connected users list
2023/10/11 13:17:37 alice_johnson requested connected users list
2023/10/11 13:17:39 bob_greenwood requested connected users list
2023/10/11 13:17:39 alice_johnson requested connected users list
2023/10/11 13:17:40 bob_greenwood requested connected users list
2023/10/11 13:17:40 alice_johnson requested connected users list
2023/10/11 13:17:42 bob_greenwood requested connected users list
2023/10/11 13:17:42 alice_johnson requested connected users list
2023/10/11 13:17:43 bob_greenwood requested connected users list
2023/10/11 13:17:43 alice_johnson requested connected users list
2023/10/11 13:17:45 bob_greenwood requested connected users list
2023/10/11 13:17:45 alice_johnson requested connected users list
2023/10/11 13:17:46 bob_greenwood requested connected users list
2023/10/11 13:17:46 alice_johnson requested connected users list
2023/10/11 13:17:48 bob_greenwood requested connected users list
2023/10/11 13:17:48 alice_johnson requested connected users list
2023/10/11 13:17:49 bob_greenwood requested connected users list
2023/10/11 13:17:49 alice_johnson requested connected users list
2023/10/11 13:17:51 bob_greenwood requested connected users list
2023/10/11 13:17:51 alice_johnson requested connected users list
2023/10/11 13:17:52 bob_greenwood requested connected users list
2023/10/11 13:17:52 alice_johnson requested connected users list
2023/10/11 13:17:54 bob_greenwood requested connected users list
2023/10/11 13:17:54 alice_johnson requested connected users list
2023/10/11 13:17:55 bob_greenwood requested connected users list
2023/10/11 13:17:55 alice_johnson requested connected users list
2023/10/11 13:17:57 bob_greenwood requested connected users list
2023/10/11 13:17:57 alice_johnson requested connected users list
2023/10/11 13:17:58 bob_greenwood requested connected users list
2023/10/11 13:17:58 alice_johnson requested connected users list
2023/10/11 13:18:00 bob_greenwood requested connected users list
2023/10/11 13:18:00 alice_johnson requested connected users list
2023/10/11 13:18:01 bob_greenwood requested connected users list
2023/10/11 13:18:01 alice_johnson requested connected users list
2023/10/11 13:18:03 bob_greenwood requested connected users list
2023/10/11 13:18:03 alice_johnson requested connected users list
2023/10/11 13:18:04 bob_greenwood requested connected users list
2023/10/11 13:18:04 alice_johnson requested connected users list
2023/10/11 13:18:06 bob_greenwood requested connected users list
2023/10/11 13:18:06 alice_johnson requested connected users list
2023/10/11 13:18:07 bob_greenwood requested connected users list
2023/10/11 13:18:07 alice_johnson requested connected users list
2023/10/11 13:18:09 bob_greenwood requested connected users list
2023/10/11 13:18:09 alice_johnson requested connected users list
2023/10/11 13:18:10 bob_greenwood requested connected users list
2023/10/11 13:18:10 alice_johnson requested connected users list
2023/10/11 13:18:12 bob_greenwood requested connected users list
2023/10/11 13:18:12 alice_johnson requested connected users list
2023/10/11 13:18:13 bob_greenwood requested connected users list
2023/10/11 13:18:13 alice_johnson requested connected users list
2023/10/11 13:18:15 bob_greenwood requested connected users list
2023/10/11 13:18:15 alice_johnson requested connected users list
2023/10/11 13:18:16 Room chat request from alice_johnson: hello alice, im bob
2023/10/11 13:18:16 bob_greenwood requested connected users list
2023/10/11 13:18:16 alice_johnson requested connected users list
2023/10/11 13:18:18 bob_greenwood requested connected users list
2023/10/11 13:18:18 alice_johnson requested connected users list
2023/10/11 13:18:19 User bob_greenwood already liked message of alice_johnson and cannot like again
2023/10/11 13:18:19 bob_greenwood requested connected users list
2023/10/11 13:18:19 alice_johnson requested connected users list
2023/10/11 13:18:21 bob_greenwood requested connected users list
2023/10/11 13:18:21 alice_johnson requested connected users list
2023/10/11 13:18:22 bob_greenwood requested connected users list
2023/10/11 13:18:22 alice_johnson requested connected users list
2023/10/11 13:18:24 bob_greenwood requested connected users list
2023/10/11 13:18:24 alice_johnson requested connected users list
2023/10/11 13:18:25 bob_greenwood requested connected users list
2023/10/11 13:18:25 alice_johnson requested connected users list
2023/10/11 13:18:27 bob_greenwood requested connected users list
2023/10/11 13:18:27 alice_johnson requested connected users list
2023/10/11 13:18:28 bob_greenwood requested connected users list
2023/10/11 13:18:28 alice_johnson requested connected users list
2023/10/11 13:18:30 bob_greenwood requested connected users list
2023/10/11 13:18:30 alice_johnson requested connected users list
2023/10/11 13:18:31 bob_greenwood requested connected users list
2023/10/11 13:18:31 alice_johnson requested connected users list
2023/10/11 13:18:33 bob_greenwood requested connected users list
2023/10/11 13:18:33 alice_johnson requested connected users list
2023/10/11 13:18:34 bob_greenwood requested connected users list
2023/10/11 13:18:34 alice_johnson requested connected users list
2023/10/11 13:18:36 bob_greenwood requested connected users list
2023/10/11 13:18:36 alice_johnson requested connected users list
2023/10/11 13:18:37 bob_greenwood requested connected users list
2023/10/11 13:18:37 alice_johnson requested connected users list
2023/10/11 13:18:39 bob_greenwood requested connected users list
2023/10/11 13:18:39 alice_johnson requested connected users list
2023/10/11 13:18:40 bob_greenwood requested connected users list
2023/10/11 13:18:40 alice_johnson requested connected users list
2023/10/11 13:18:41 User bob_greenwood already liked message of alice_johnson and cannot like again
2023/10/11 13:18:42 bob_greenwood requested connected users list
2023/10/11 13:18:42 alice_johnson requested connected users list
